id,word,word_definition,antonyms,synonyms,example,relevance
846,Gorilla,"A large, powerful primate found in Africa, often with black fur","Human, bird, fish, insect","Ape, chimpanzee, orangutan, bonobo",She saw a gorilla at the zoo.,1 class
847,Globe,A sphere representing the earth or another celestial body,"Cube, square, rectangle, pyramid","Earth, planet, sphere, orb",She spun the globe and pointed to a place to visit.,1 class
848,Gum,"A sticky substance, often used for chewing or adhering things together","Solvent, release agent, grease, oil","Chewing gum, adhesive, glue, resin",She chewed gum during class.,1 class
849,Apple,A type of fruit,"Vegetable, Meat","Fruit, Pomaceous fruit, Pome",My mom packed an apple in my lunch today.,1 class
850,Alphabet,A set of letters used to write a language,"Numbers, Symbols","Letters, ABCs, Character set",We are learning the alphabet in class today.,1 class
851,Ant,A small insect that lives in colonies,"Grasshopper, Fly","Insect, Formicidae, Anteater's food",Look at that ant crawling on the ground!,1 class
852,Air,The invisible mixture of gases that we breathe,"Water, Earth","Atmosphere, Oxygen, Wind",I feel the air blowing on my face.,1 class
853,Art,A creative activity that produces works of beauty or expression,"Science, Math","Painting, Drawing, Sculpture",We are doing art projects in class today.,1 class
854,Arm,"The upper limb of the human body, extending from the shoulder to the hand","Leg, Foot","Limb, Upper extremity, Forelimb",I use my arm to write and draw.,1 class
855,Aunt,The sister of one's father or mother,"Uncle, Nephew","Auntie, Aunty, Auntiekins",My aunt gave me a present for my birthday.,1 class
856,Animal,A living organism that feeds on organic matter,"Plant, Mineral","Creature, Beast, Mammal",The zoo has many different kinds of animals.,1 class
857,Alligator,"A large reptile with a long tail, powerful jaws, and sharp teeth","Frog, Lizard","Crocodile, Gator, Caiman",Look at the alligator in the water!,1 class
858,Astronaut,A person who is trained to travel in a spacecraft,"Earthling, Terrestrial","Spaceman, Cosmonaut, Pilot",I want to be an astronaut when I grow up.,1 class
859,Angel,A spiritual being that is believed to act as a messenger of God,"Demon, Devil","Heavenly being, Divine messenger, Cherub",My teacher said I was an angel for doing my homework on time.,1 class
860,Arrow,"A thin, pointed shaft that is shot from a bow","Shield, Barrier","Dart, Bolt, Projectile",The archer shot an arrow into the target.,1 class
861,Axe,A tool with a heavy metal head mounted at right angles to a wooden handle,"Shield, Barrier","Hatchet, Chopper, Tomahawk",The lumberjack used an axe to chop down the tree.,1 class
862,Autumn,The season of the year between summer and winter,"Spring, Summer","Fall, Harvest time, September",The leaves on the trees change colors in autumn.,1 class
863,Africa,"The second-largest continent, located south of Europe and bordered by the Atlantic and Indian oceans","Europe, Asia","Continent, African continent, Sub-Saharan Africa",My friend's family is from Africa.,1 class
864,April,"The fourth month of the year, following March and preceding May","Winter, December","Month, Spring, Showers",My birthday is in April.,1 class
865,Awake,To become conscious after sleeping,"Asleep, Unconscious","Alert, Conscious, Woke",I need to be awake to listen to the teacher.,1 class
866,Butterfly,"An insect with large, colorful wings that flies during the day","Spider, ant, beetle, roach","Moth, caterpillar, chrysalis, pupa",She watched a butterfly flutter by.,1 class
867,Book,A written or printed work consisting of pages glued or sewn together along one side,"Movie, TV show, video game, music","Tome, volume, publication, novel",She read a book before bed.,1 class
868,Ball,A round object used for playing games or sports,"Cube, pyramid, rectangle, square","Sphere, orb, globe, sphere",She kicked the ball across the field.,1 class
869,Bear,"A large, furry mammal with sharp claws and a short tail","Deer, rabbit, mouse, bird","Grizzly bear, polar bear, black bear, panda bear",She saw a bear at the zoo.,1 class
870,Bird,A feathered animal with wings that lays eggs,"Fish, reptile, mammal, insect","Hawk, eagle, sparrow, robin",She heard a bird chirping outside.,1 class
871,Bat,A flying mammal with leathery wings and sharp teeth,"Ball, frisbee, toy, kite","Fruit bat, vampire bat, baseball bat, cricket bat",She saw a bat flying at night.,1 class
872,Bicycle,"A vehicle with two wheels, pedals, and a chain used for transportation","Car, bus, train, plane","Bike, cycle, two-wheeler, pedal bike",She rode her bicycle to the park.,1 class
873,Boat,A watercraft designed for navigation on water,"Car, train, plane, bike","Ship, yacht, canoe, kayak",She went fishing in a boat on the lake.,1 class
874,Banana,"A yellow fruit with a soft, sweet flesh and a curved shape","Vegetable, meat, bread, pasta","Fruit, plantain, banana peel, banana split",She ate a banana for breakfast.,1 class
875,Baby,"A very young child, especially one that has not yet begun to walk or talk","Adult, senior, elderly, geriatric","Infant, newborn, toddler, child",She helped take care of her baby brother.,1 class
876,Bee,An insect with wings that pollinates flowers and produces honey,"Spider, ant, beetle, roach","Honey bee, bumblebee, carpenter bee, queen bee",She saw a bee buzzing around the flowers.,1 class
877,Ballerina,A female dancer who specializes in classical ballet,"Actor, singer, musician, athlete","Ballet dancer, prima ballerina, ballerina shoes, tutu",She dreamed of becoming a ballerina someday.,1 class
878,Backpack,"A bag worn on the back, typically used for carrying books or equipment","Purse, briefcase, tote bag, duffel bag","Book bag, knapsack, rucksack, school bag",She packed her backpack with school supplies.,1 class
879,Bus,"A large motor vehicle used for transporting passengers, typically along a fixed route","Car, train, plane, bike","School bus, city bus, coach, double-decker bus",She rode the bus to school every day.,1 class
880,Bookshelf,A piece of furniture with shelves used for storing books,"Chair, table, dresser, sofa","Bookcase, library, shelves, display cabinet",She organized her books on the bookshelf.,1 class
881,Blue,A color that is often associated with the sky or water,"Red, green, yellow, orange","Azure, cobalt, navy, sapphire",She wore a blue dress to the party.,1 class
1749,Dad,Father,"Mom, Mommy, Mama, Mother","Papa, Daddy, Pop, Sire",My dad is taking me to the park today.,1 class
1750,Dance,To move rhythmically to music,"Sit, Stand, Stay, Rest","Groove, Boogie, Jig, Waltz",Let's dance to this fun song!,1 class
1751,Dark,"Without light, gloomy","Bright, Light, Shining, Radiant","Dim, Shadowy, Murky, Dusky",The room is too dark to see anything.,1 class
1752,Day,A 24-hour period of time,"Night, Evening, Dusk, Midnight","Sunlight, Daytime, Daylight, Diurnal",Today is a beautiful day!,1 class
1753,Dear,Loved or valued,"Hated, Disliked, Detested, Unloved","Precious, Beloved, Treasured, Cherished",My dear friend is coming over for a playdate.,1 class
1754,Delicious,Tasty and enjoyable,"Disgusting, Unappetizing, Inedible, Foul","Yummy, Savory, Delectable, Flavorful",This pizza is so delicious!,1 class
1755,Desk,A piece of furniture for writing or working,"Chair, Stool, Bench, Sofa","Table, Workstation, Bureau, Writing Table",I'm going to sit at my desk and do my homework.,1 class
1756,Diamond,A precious stone that is clear and shiny,"Rock, Pebble, Stone, Mineral","Gem, Jewel, Crystal, Rhinestone",My mom's engagement ring has a beautiful diamond on it.,1 class
1757,Dictionary,A book that lists words and their meanings,"Illiteracy, Ignorance, Uneducated, Uninformed","Thesaurus, Lexicon, Glossary, Encyclopedia",I used the dictionary to look up the meaning of a word.,1 class
1758,Dinosaur,A prehistoric reptile that lived millions of years ago,"Human, Animal, Mammal, Reptile","T-Rex, Stegosaurus, Triceratops, Velociraptor",I love learning about dinosaurs in my science class.,1 class
1759,Doctor,A medical professional who helps people stay healthy,"Patient, Nurse, Caretaker, Paramedic","Physician, Surgeon, Medic, Practitioner",My mom took me to see the doctor when I was sick.,1 class
1760,Dog,"A furry, four-legged animal often kept as a pet","Cat, Mouse, Bird, Fish","Canine, Pooch, Hound, Fido",I have a pet dog named Max.,1 class
1761,Doll,A toy that looks like a person,"Robot, Car, Truck, Ball","Action Figure, Stuffed Animal, Teddy Bear, Puppet",My favorite doll has blonde hair and blue eyes.,1 class
1762,Dolphin,A marine mammal that is intelligent and playful,"Shark, Octopus, Jellyfish, Squid","Porpoise, Orca, Whale, Sea Lion",I saw a dolphin at the aquarium and it did tricks for us.,1 class
1763,Donkey,An animal with long ears and used for carrying heavy loads,"Horse, Cow, Pig, Sheep","Burro, Mule, Jackass, Ass",I saw a donkey at the petting zoo and it brayed loudly.,1 class
1764,Ear,Part of the body used for hearing,"Nose, Mouth, Eye, Tongue","Auditory Organ, Pinna, Eardrum, Cochlea",My ear hurts when I listen to loud music.,1 class
1765,Earth,The planet we live on,"Space, Sky, Universe, Void","World, Globe, Terra, Ground",We need to take care of the earth by recycling.,1 class
1766,Eat,To consume food,"Abstain, Fast, Refuse, Reject","Consume, Devour, Ingest, Nibble",I like to eat pizza for dinner.,1 class
1767,Egg,"An oval-shaped object laid by a bird, often used for food","Chick, Hen, Bird, Rooster","Omelet, Scrambled Eggs, Hard-Boiled Egg, Sunny Side Up Egg",I love to eat eggs for breakfast.,1 class
1768,Eight,The number after seven and before nine,"One, Two, Three, Four","Octet, Ocho, Huit, Acht",There are eight crayons in my box.,1 class
1769,Elephant,A large animal with a long trunk and big ears,"Mouse, Rat, Hamster, Gerbil","Pachyderm, Mammoth, Tusked Animal, Greyhound",The elephant at the zoo is so big!,1 class
1770,Eleven,The number after ten and before twelve,"One, Two, Three, Four","Undecim, Onze, Elf, Elva",I have eleven crayons in my box.,1 class
1771,Email,A message sent electronically,"Snail Mail, Letter, Postcard, Memo","Electronic Mail, E-Message, E-Correspondence, E-Note",My mom sends an email to my teacher to ask questions.,1 class
1772,Empty,Having nothing inside,"Full, Filled, Packed, Crowded","Vacant, Bare, Hollow, Blank",The toy box is empty because I cleaned it.,1 class
1773,End,The final part of something,"Beginning, Start, Commencement, Opening","Conclusion, Finish, Termination, Closure",The book has a happy ending.,1 class
1774,Enjoy,To have fun or like something,"Dislike, Loathe, Detest, Abhor","Appreciate, Delight, Relish, Savor",I enjoy playing with my friends at recess.,1 class
1775,Enough,A sufficient amount,"Insufficient, Inadequate, Scant, Sparse","Adequate, Sufficient, Ample, Plenty",I have enough toys to play with.,1 class
1776,Entrance,The way into a place,"Exit, Egress, Departure, Leave","Doorway, Gate, Portal, Access",The entrance to the museum is through the big doors.,1 class
1777,Eye,The part of the body used for seeing,"Ear, Nose, Mouth, Hand","Optic, Pupil, Iris, Cornea",My eye is red and itchy.,1 class
1778,Exercise,Physical activity done to stay healthy,"Laziness, Inactivity, Sedentary, Rest","Workout, Training, Activity, Fitness",I like to exercise by playing soccer.,1 class
1779,Explore,To travel and discover new things,"Stay, Remain, Rest, Settle","Adventure, Discover, Investigate, Scout",Let's explore the park and find new things.,1 class
1780,Ice,Frozen water,"Water, Steam, Liquid, Vapor","Ice cubes, Glacier, Frost, Hail",I put ice in my drink to make it cold.,1 class
1781,Idea,A thought or suggestion,"Reality, Fact, Truth, Certainty","Concept, Notion, Plan, Proposal",I have an idea for a new game we can play.,1 class
1782,Identify,To recognize and name something,"Ignore, Overlook, Disregard, Neglect","Recognize, Label, Classify, Distinguish",Can you identify which flower is a rose?,1 class
